GMU_Num,value
437,15
578,10
651,13
407,12
368,2
454,28
648,3
336,7
335,4
516,6
633,6
111,6
638,1
530,2
550,4
121,14
388,8
624,5
328,2
162,6
250,5
672,1
340,6
382,11
124,19
448,16
460,28
113,1
627,3
418,7
667,2
560,2
251,2
101,3
133,1
603,2
658,3
242,3
652,1
127,5
154,2
564,2
204,5
364,1
621,6
117,6
334,1
666,2
636,1
108,1
266,2
175,1
574,2
490,1
231,1
556,1
505,2
642,1
166,1
510,2
568,0
554,0
157,0
572,0
186,0
172,0
169,0
504,0
373,0
181,0
681,0
178,0
520,0
699,0
503,0
163,0
506,0
149,0
684,0
372,0
145,0
379,0
673,0
513,0
381,0
360,0
501,0
142,0
371,0
356,0
342,0
352,0
660,0
663,0
654,0
278,0
290,0
346,0
655,0
653,0
330,0
329,0
139,0
466,0
284,0
485,0
422,0
269,0
618,0
249,0
254,0
130,0
136,0
272,0
615,0
262,0
247,0
612,0
260,0
245,0
607,0
246,0
248,0
421,0
243,0
602,0
239,0
601,0
420,0
244,0
450,0
416,0
414,0
419,0
415,0
233,0
412,0
417,0
413,0
224,0
411,0
410,0
218,0
203,0
426,0
215,0
209,0
105,0
423,0
424,0
522,0
524,0
