fips,county,value
53033,King,207
53023,Garfield,33
53043,Lincoln,55
53009,Clallam,74
53007,Chelan,276
53047,Okanogan,161
53051,Pend Oreille,190
53065,Stevens,332
53031,Jefferson,67
53059,Skamania,52
53037,Kittitas,124
53057,Skagit,74
53003,Asotin,25
53077,Yakima,74
53027,Grays Harbor,156
53041,Lewis,59
53069,Wahkiakum,1
53045,Mason,106
53015,Cowlitz,39
53017,Douglas,40
53067,Thurston,55
53039,Klickitat,143
53049,Pacific,10
53035,Kitsap,51
53063,Spokane,318
53011,Clark,78
53021,Franklin,3
53013,Columbia,30
53053,Pierce,45
53019,Ferry,67
53075,Whitman,16
53071,Walla Walla,23
53061,Snohomish,132
53005,Benton,4
53073,Whatcom,86
53029,Island,1
53025,Grant,12
53001,Adams,0
53055,San Juan,0
